time/step,time/epoch,time/steps_per_second,time/dataset,time/env_step,time/processor,time/train_step,lr/actor,train/cpl_loss,train/bc_loss,train/accuracy,time/validation,time/eval,eval/reward,eval/length,eval/success,eval/near_object,eval/grasp_success,eval/grasp_reward,eval/in_place_reward,eval/obj_to_target,eval/unscaled_reward,eval/discount,eval/reward_std,step
55000,2037,366.21816778456684,0.0004055500030517578,2.1457672119140625e-06,0.0002574920654296875,0.00164031982421875,0.0001,0.0,0.5691439241170884,0.0,4.5299530029296875e-06,2.883354902267456,143.93546489955708,250.0,0.76,6.08,250.0,132.73568648610922,155.13524331300493,22.01969661689303,1439.354648995571,1.0,67.35380855918157,55000
60000,2222,364.21642787066236,0.0006134510040283203,2.1457672119140625e-06,0.0003380775451660156,0.001988649368286133,0.0001,0.0,0.5673840770125389,0.0,5.7220458984375e-06,2.8993513584136963,121.12250580004397,250.0,0.56,6.4,250.0,120.19478438003866,122.05022722004924,28.757812208647596,1211.2250580004395,1.0,64.64611326037013,60000
65000,2407,364.8029780516549,0.0006361007690429688,2.1457672119140625e-06,0.0003342628479003906,0.002025127410888672,0.0001,0.0,0.5670627658367157,0.0,5.4836273193359375e-06,2.8356831073760986,134.57305184378166,250.0,0.68,6.6,250.0,123.2871569896648,145.8589466978985,24.066149381301813,1345.7305184378163,1.0,65.68737403501198,65000
70000,2592,367.95826388924223,0.0006191730499267578,2.1457672119140625e-06,0.00033020973205566406,0.0019690990447998047,0.0001,0.0,0.5664267369508743,0.0,5.4836273193359375e-06,2.879397392272949,124.7488202382475,250.0,0.56,6.4,250.0,120.71075804111611,128.7868824353789,27.62083508352863,1247.488202382475,1.0,71.00043792855371,70000
75000,2777,365.4024981822674,0.0006320476531982422,2.1457672119140625e-06,0.0003352165222167969,0.0019979476928710938,0.0001,0.0,0.5659276058673859,0.0,4.76837158203125e-06,2.910484552383423,126.50195918344465,250.0,0.56,5.4,250.0,122.68289785039423,130.3210205164951,27.284859193884323,1265.0195918344468,1.0,68.52358038881424,75000
80000,2962,367.208053547906,0.0003254413604736328,2.1457672119140625e-06,0.00017309188842773438,0.0019369125366210938,0.0001,0.0,0.5643405277132988,0.0,5.4836273193359375e-06,2.7980291843414307,124.06813706486383,250.0,0.64,4.8,250.0,109.73692506189805,138.39934906782963,24.858027163459887,1240.6813706486387,1.0,70.99516668425925,80000
85000,3148,365.30759561760203,0.0006182193756103516,2.1457672119140625e-06,0.00032973289489746094,0.002001047134399414,0.0001,0.0,0.5635868754386902,0.0,5.4836273193359375e-06,2.881406545639038,107.68912929686552,250.0,0.48,4.76,250.0,107.30491273984711,108.07334585388391,31.64171561420069,1076.891292968655,1.0,66.64687610041938,85000
90000,3333,366.91496220454945,0.000614166259765625,2.1457672119140625e-06,0.00033211708068847656,0.0019526481628417969,0.0001,0.0,0.5629549312591553,0.0,5.4836273193359375e-06,2.7524101734161377,109.74468547455743,250.0,0.68,3.52,250.0,94.66259026377648,124.82678068533835,27.69493487049986,1097.446854745574,1.0,70.07561714343547,90000
95000,3518,363.76699299248565,0.0006396770477294922,2.1457672119140625e-06,0.00033354759216308594,0.0019817352294921875,0.0001,0.0,0.563088917195797,0.0,5.7220458984375e-06,2.9230005741119385,96.41178414262487,250.0,0.44,3.4,250.0,91.73798385095967,101.08558443429003,32.89310158168023,964.1178414262484,1.0,64.58999389709273,95000
100000,3703,367.2714618884091,0.0006182193756103516,2.1457672119140625e-06,0.00034046173095703125,0.0019991397857666016,0.0001,0.0,0.5629500618577004,0.0,5.4836273193359375e-06,2.8358659744262695,116.71435471683617,250.0,0.6,5.12,250.0,105.83905933365675,127.58965010001565,27.28584364347049,1167.143547168362,1.0,69.18733080862313,100000
105000,3888,366.4041048262598,0.0006392002105712891,2.1457672119140625e-06,0.0003304481506347656,0.0020339488983154297,0.0001,0.0,0.5638413535356521,0.0,5.4836273193359375e-06,2.8611559867858887,110.58187287042735,250.0,0.56,4.04,250.0,102.00619223280401,119.15755350805074,29.00058840183153,1105.8187287042738,1.0,68.92271035572989,105000
110000,4074,366.18971163558996,0.0004038810729980469,2.1457672119140625e-06,0.00026226043701171875,0.0016484260559082031,0.0001,0.0,0.5630301053524017,0.0,4.0531158447265625e-06,2.8552913665771484,123.27391596715286,250.0,0.64,6.64,250.0,119.32511915918576,127.22271277511999,27.41176591205501,1232.7391596715288,1.0,60.57054984449685,110000
115000,4259,359.3326594977829,0.0006160736083984375,2.1457672119140625e-06,0.0003285408020019531,0.001955270767211914,0.0001,0.0,0.5619203523993492,0.0,5.4836273193359375e-06,2.9236178398132324,125.82863078675128,250.0,0.6,5.76,250.0,114.54133482061599,137.11592675288662,25.797004914151934,1258.286307867513,1.0,71.6780452185003,115000
120000,4444,364.67902312057413,0.0004146099090576172,2.1457672119140625e-06,0.0002582073211669922,0.001650094985961914,0.0001,0.0,0.5622456276416778,0.0,4.0531158447265625e-06,2.8484320640563965,124.59963491114974,250.0,0.56,4.96,250.0,121.20198330204852,127.99728652025098,27.4839989081719,1245.9963491114975,1.0,68.71417372728494,120000
125000,4629,363.3147635255644,0.0006287097930908203,2.1457672119140625e-06,0.0003306865692138672,0.001969575881958008,0.0001,0.0,0.5617454037666321,0.0,5.245208740234375e-06,2.9029366970062256,121.44586472165739,250.0,0.56,4.24,250.0,113.8937568928198,128.99797255049498,27.523828265053925,1214.4586472165738,1.0,71.45195270111111,125000
130000,4814,389.7789776970397,0.00036144256591796875,2.1457672119140625e-06,0.00024271011352539062,0.0012674331665039062,0.0001,0.0,0.5615045105218888,0.0,3.814697265625e-06,2.8238117694854736,132.70202029909618,250.0,0.64,5.96,250.0,123.61999810304864,141.78404249514372,24.513935568265932,1327.0202029909615,1.0,70.09595505013142,130000
135000,5000,366.0048224664948,0.0008020401000976562,2.1457672119140625e-06,0.0003504753112792969,0.0020704269409179688,0.0001,0.0,0.5622341563701629,0.0,5.245208740234375e-06,2.820847749710083,136.90723633045346,250.0,0.72,7.04,250.0,135.14708290397047,138.66738975693642,25.184828620004833,1369.0723633045343,1.0,57.56627659099851,135000
140000,5185,363.3267227792809,0.0006356239318847656,2.1457672119140625e-06,0.0003342628479003906,0.00201416015625,0.0001,0.0,0.5619421999454498,0.0,5.4836273193359375e-06,2.8600003719329834,109.56969724210965,250.0,0.48,3.2,250.0,101.71759464465933,117.42179983955997,29.655804667592374,1095.6969724210965,1.0,71.79292540025259,140000
145000,5370,363.8792161252917,0.0006268024444580078,2.1457672119140625e-06,0.0003304481506347656,0.0019943714141845703,0.0001,0.0,0.5613508551716805,0.0,5.4836273193359375e-06,2.887699842453003,133.07902877941152,250.0,0.64,6.08,250.0,126.84900824966014,139.3090493091629,25.37366297125793,1330.790287794115,1.0,68.01806659762944,145000
150000,5555,363.986012286805,0.00040030479431152344,2.1457672119140625e-06,0.0002586841583251953,0.0015761852264404297,0.0001,0.0,0.5620076609253883,0.0,5.245208740234375e-06,2.865074396133423,139.785644290081,250.0,0.68,5.88,250.0,132.0209056897883,147.55038289037367,23.479676330965713,1397.8564429008097,1.0,66.3662414687733,150000
155000,5740,364.92523925058106,0.0006361007690429688,2.1457672119140625e-06,0.0003330707550048828,0.0020208358764648438,0.0001,0.0,0.5612531188726425,0.0,5.245208740234375e-06,2.9082674980163574,133.486219682361,250.0,0.68,5.32,250.0,119.92438230432154,147.04805706040048,23.810708758130605,1334.86219682361,1.0,69.79112818943359,155000
160000,5925,361.3395092582877,0.0006420612335205078,2.1457672119140625e-06,0.0003345012664794922,0.0020554065704345703,0.0001,0.0,0.5608682458400727,0.0,5.4836273193359375e-06,2.8105320930480957,122.0966606122514,250.0,0.6,5.56,250.0,111.67539494370521,132.5179262807976,26.544962280036756,1220.9666061225141,1.0,70.01703818062394,160000
165000,6111,361.78483453381875,0.0006279945373535156,2.1457672119140625e-06,0.0003437995910644531,0.0020418167114257812,0.0001,0.0,0.5601109823584557,0.0,5.9604644775390625e-06,2.8392457962036133,87.13919737761897,250.0,0.36,2.44,250.0,84.69440003359779,89.58399472164015,35.3568916449905,871.3919737761898,1.0,67.15226361911175,165000
170000,6296,362.6225967187195,0.0006155967712402344,2.1457672119140625e-06,0.0003285408020019531,0.00199127197265625,0.0001,0.0,0.560414133310318,0.0,5.9604644775390625e-06,2.8569154739379883,123.25673847015383,250.0,0.6,4.04,250.0,115.74888647726006,130.7645904630476,26.9194813394161,1232.567384701538,1.0,66.30028544421293,170000
175000,6481,362.915964653128,0.0006225109100341797,2.1457672119140625e-06,0.0003333091735839844,0.0020155906677246094,0.0001,0.0,0.5610088462233543,0.0,5.7220458984375e-06,2.8774778842926025,111.85039364383569,250.0,0.64,4.16,250.0,98.3790254750631,125.32176181260829,27.507228566649406,1118.503936438357,1.0,68.54766269188829,175000
180000,6666,362.8766540663983,0.0006337165832519531,2.1457672119140625e-06,0.0003414154052734375,0.002026796340942383,0.0001,0.0,0.5604147337079048,0.0,5.4836273193359375e-06,2.8222529888153076,113.44558269305129,250.0,0.52,6.96,250.0,111.574441958636,115.31672342746657,29.730124904363876,1134.455826930513,1.0,65.60556626637185,180000
185000,6851,363.4937310109091,0.0006368160247802734,2.1457672119140625e-06,0.00033545494079589844,0.002001523971557617,0.0001,0.0,0.5592252243757247,0.0,5.4836273193359375e-06,2.9178249835968018,102.79086597958978,250.0,0.4,3.76,250.0,102.72311087087495,102.8586210883046,32.833087145474245,1027.9086597958978,1.0,68.95808414489834,185000
190000,7037,359.7552743556996,0.0006139278411865234,2.1457672119140625e-06,0.00033164024353027344,0.001987934112548828,0.0001,0.0,0.559968202829361,0.0,5.0067901611328125e-06,2.8854267597198486,122.38076722051646,250.0,0.64,5.8,250.0,113.37230743080738,131.3892270102256,26.7158879155141,1223.8076722051649,1.0,68.10665629151455,190000
195000,7222,366.70862730992644,0.0006122589111328125,2.1457672119140625e-06,0.00033783912658691406,0.0019538402557373047,0.0001,0.0,0.560863425552845,0.0,5.4836273193359375e-06,2.9492673873901367,97.2642011610763,250.0,0.4,2.76,250.0,100.02650077136241,94.5019015507902,34.39458923745723,972.642011610763,1.0,63.45183993033978,195000
200000,7407,368.39365832656006,0.00045108795166015625,2.1457672119140625e-06,0.0002617835998535156,0.002736806869506836,2e-08,0.0011732592582702637,0.5597643753886223,0.001375,4.0531158447265625e-06,2.8475441932678223,131.77976013401658,250.0,0.72,6.36,250.0,118.70176789132076,144.85775237671245,23.646645023200872,1317.797601340166,1.0,65.9302735900839,200000
205000,7592,308.15645866462285,0.0006396770477294922,2.1457672119140625e-06,0.0003345012664794922,0.002299785614013672,5.002e-05,0.40641078318655494,0.6696805518865585,0.8067083520889282,3.814697265625e-06,2.806912899017334,111.75323651897746,250.0,0.52,8.2,250.0,114.60090927407205,108.90556376388284,31.73041940617515,1117.5323651897745,1.0,65.4171092125044,205000
210000,7777,308.3736417728508,0.0003952980041503906,2.1457672119140625e-06,0.0002562999725341797,0.0023622512817382812,0.0001,0.3832185403704643,0.6870605714321136,0.8238750184774399,3.814697265625e-06,2.9099788665771484,143.530393553656,250.0,0.72,5.68,250.0,141.79369279165078,145.2670943156612,24.23303349680569,1435.30393553656,1.0,55.16710606369474,210000
215000,7962,309.24430416816955,0.00027751922607421875,2.1457672119140625e-06,0.00018596649169921875,0.002351999282836914,0.0001,0.3721605795994401,0.6900826454162597,0.8322708523273468,5.7220458984375e-06,2.7911157608032227,136.9716434430146,250.0,0.76,4.96,250.0,136.9665677203344,136.97671916569485,25.782309300139953,1369.7164344301464,1.0,58.231486007712846,215000
220000,8148,310.3111572376348,0.000392913818359375,2.1457672119140625e-06,0.000255584716796875,0.002495288848876953,0.0001,0.3649617739021778,0.6929905542135238,0.833541686296463,4.0531158447265625e-06,2.821439266204834,123.4839836279435,250.0,0.68,3.68,250.0,122.44890943477618,124.5190578211109,28.342348957527147,1234.8398362794353,1.0,59.55534016883888,220000
225000,8333,309.7731286782893,0.0006260871887207031,2.1457672119140625e-06,0.0003368854522705078,0.0023741722106933594,0.0001,0.3491018286123872,0.6905422321557999,0.8450208525657654,5.4836273193359375e-06,2.7965707778930664,98.26841563109524,250.0,0.36,2.68,250.0,103.9931121209156,92.54371914127483,35.11668448749002,982.6841563109523,1.0,61.97047504492508,225000
230000,8518,308.71114709454235,0.0006222724914550781,2.1457672119140625e-06,0.00033545494079589844,0.0023512840270996094,0.0001,0.35156140790879725,0.6953408870100976,0.8443958524465561,5.4836273193359375e-06,2.8278489112854004,142.32664165443663,250.0,0.72,5.72,250.0,133.27663675844786,151.37664655042542,23.00584805756168,1423.2664165443662,1.0,65.43068053252884,230000
235000,8703,309.82108944227826,0.0006434917449951172,2.1457672119140625e-06,0.00033473968505859375,0.0023779869079589844,0.0001,0.3503967585414648,0.6991341409683227,0.8440208514928818,5.4836273193359375e-06,2.7692174911499023,123.77217158472482,250.0,0.76,4.32,250.0,118.46930936964687,129.07503379980275,26.63090048788169,1237.7217158472479,1.0,54.69332520230635,235000
240000,8888,306.8424715869395,0.0006487369537353516,2.1457672119140625e-06,0.0003333091735839844,0.002378225326538086,0.0001,0.35136688490211965,0.6944511059522629,0.8437500187158584,5.245208740234375e-06,2.768298864364624,154.769815785687,250.0,0.76,7.68,250.0,147.97703499431074,161.56259657706323,20.91631554153275,1547.69815785687,1.0,58.2248157009651,240000
245000,9074,310.5029754008263,0.00040435791015625,2.1457672119140625e-06,0.00026416778564453125,0.002352476119995117,0.0001,0.3516365655362606,0.6985996754169465,0.8415416857004165,4.0531158447265625e-06,2.837415933609009,142.5921250714185,250.0,0.76,6.36,250.0,142.49627646744864,142.68797367538835,24.726580239864244,1425.9212507141847,1.0,57.278831119611304,245000
250000,9259,306.67268171452264,0.0004572868347167969,2.1457672119140625e-06,0.00026297569274902344,0.002321958541870117,0.0001,0.3413094667941332,0.6961925439834594,0.8495208526849747,4.291534423828125e-06,2.730238676071167,111.03756483729819,250.0,0.56,3.64,250.0,104.20529885589595,117.86983081870048,29.77696981798639,1110.3756483729821,1.0,69.18317863420492,250000
255000,9444,312.52810052869603,0.0006492137908935547,2.1457672119140625e-06,0.00033354759216308594,0.0023794174194335938,0.0001,0.3440826686322689,0.6962354949712753,0.8497500193119049,5.0067901611328125e-06,2.807619571685791,141.87765389737066,250.0,0.76,8.0,250.0,141.8538439797711,141.90146381497027,24.538547247092552,1418.7765389737065,1.0,57.61999711770328,255000
260000,9629,305.5181435050341,0.00046181678771972656,2.1457672119140625e-06,0.00026726722717285156,0.002362489700317383,0.0001,0.3387605252414942,0.6934140772819519,0.8517500195503235,4.0531158447265625e-06,2.7913076877593994,128.9433038991328,250.0,0.68,5.92,250.0,118.48550643215724,139.4011013661084,25.486898263278537,1289.4330389913282,1.0,72.47905741784066,260000
265000,9814,307.83308700153407,0.0006425380706787109,2.1457672119140625e-06,0.0003361701965332031,0.0024726390838623047,0.0001,0.3474948192760348,0.6976074175834656,0.8438750194311142,4.291534423828125e-06,2.7682888507843018,119.98902386649057,250.0,0.6,3.56,250.0,116.86567384892352,123.11237388405767,28.349692763052982,1199.8902386649058,1.0,62.58183291908932,265000
270000,10000,324.13788200134223,0.0006322860717773438,2.1457672119140625e-06,0.0002694129943847656,0.002351045608520508,0.0001,0.3394505680948496,0.6964967832565307,0.8488333529233932,4.291534423828125e-06,2.8271920680999756,119.12147942799251,250.0,0.56,4.68,250.0,119.51798942413156,118.72496943185347,29.524893084527097,1191.214794279925,1.0,65.49313766320768,270000
275000,10185,309.67011817259737,0.00041103363037109375,2.1457672119140625e-06,0.00025725364685058594,0.0023546218872070312,0.0001,0.3411378953009844,0.698162016749382,0.8497500202655792,3.814697265625e-06,2.739422559738159,125.10309193036717,250.0,0.6,7.32,250.0,123.88699321821917,126.31919064251517,27.94412887486439,1251.0309193036717,1.0,67.09731183581522,275000
280000,10370,305.41149359133806,0.0005846023559570312,2.1457672119140625e-06,0.0003349781036376953,0.0024251937866210938,0.0001,0.33728805592656136,0.6996607756614686,0.853187518119812,5.245208740234375e-06,2.722440719604492,99.79806963454601,250.0,0.4,2.76,250.0,104.80177048806995,94.79436878102206,34.52533469245661,997.9806963454598,1.0,64.06794820136743,280000
285000,10555,306.32936945274724,0.00044798851013183594,2.1457672119140625e-06,0.0002605915069580078,0.0024018287658691406,0.0001,0.3396950836479664,0.6987792539000511,0.8494583523273468,4.291534423828125e-06,2.7596068382263184,108.42208561762202,250.0,0.52,4.0,250.0,109.3819702774017,107.46220095784236,31.858051143984113,1084.2208561762202,1.0,64.07755719816805,285000
290000,10740,476.35263440029803,0.0003750324249267578,2.1457672119140625e-06,0.00024175643920898438,0.0014803409576416016,0.0001,0.3345767475441098,0.6953104796409607,0.8553333522081376,3.814697265625e-06,2.692147970199585,103.45677224726265,250.0,0.56,4.48,250.0,99.1334126675311,107.78013182699418,31.793270298281367,1034.5677224726264,1.0,69.05679313599903,290000
295000,10925,474.774266519,0.0003743171691894531,2.1457672119140625e-06,0.00024127960205078125,0.0014910697937011719,0.0001,0.3325088707208633,0.6971812757253647,0.8557291860580445,4.291534423828125e-06,2.7799503803253174,118.6495916957227,250.0,0.52,3.8,250.0,122.63314774058668,114.66603565085876,30.480141749776276,1186.495916957227,1.0,60.71576857314757,295000
300000,11111,309.1967497328819,0.0004215240478515625,2.1457672119140625e-06,0.0002570152282714844,0.002361774444580078,0.0001,0.33469282165169717,0.69735298371315,0.8546041857004165,4.0531158447265625e-06,2.80366849899292,128.1620407991536,250.0,0.56,4.08,250.0,126.73848171423779,129.58559988406938,27.516679653628426,1281.620407991536,1.0,62.489976072690986,300000
305000,11296,307.50971694000594,0.0006411075592041016,2.1457672119140625e-06,0.00033736228942871094,0.002501249313354492,0.0001,0.3355914058163762,0.6976554462313652,0.8536666865348816,3.814697265625e-06,2.730762243270874,124.88770285676341,250.0,0.56,5.24,250.0,128.6000341373988,121.17537157612804,28.889743586741343,1248.8770285676342,1.0,63.66065084734761,305000
310000,11481,321.3466590337682,0.0006527900695800781,2.1457672119140625e-06,0.00033664703369140625,0.002351999282836914,0.0001,0.3333651109337807,0.6969363421201706,0.8524166858196258,5.4836273193359375e-06,2.728240966796875,133.7891086281791,250.0,0.68,5.16,250.0,126.29546998381544,141.28274727254274,24.949887547161275,1337.8910862817909,1.0,70.51018831419005,310000
315000,11666,308.30219540238164,0.0004241466522216797,2.1457672119140625e-06,0.00026226043701171875,0.002396821975708008,0.0001,0.3301300740167499,0.6993921340703965,0.8571666859388352,4.291534423828125e-06,2.7320353984832764,124.33434163184158,250.0,0.64,5.4,250.0,118.05458819608386,130.61409506759932,27.141675425256434,1243.3434163184158,1.0,62.08432698072615,315000
320000,11851,305.84679221761644,0.0006544589996337891,2.1457672119140625e-06,0.00033736228942871094,0.0024530887603759766,0.0001,0.3332769059799612,0.696269434094429,0.8524166841506958,4.291534423828125e-06,2.8053717613220215,126.47767973093524,250.0,0.68,5.08,250.0,122.6986950343503,130.2566644275202,27.02119169791445,1264.7767973093523,1.0,64.68822665536958,320000
325000,12037,307.71330124562763,0.0006361007690429688,2.1457672119140625e-06,0.00034499168395996094,0.002361297607421875,0.0001,0.33385930295288563,0.7000014837384224,0.8541875190734863,4.291534423828125e-06,2.8064818382263184,124.54376627031286,250.0,0.64,4.08,250.0,122.45093166024525,126.6366008803805,27.528122055934674,1245.4376627031288,1.0,62.59931234539027,325000
330000,12222,315.5089940626323,0.0004189014434814453,2.1457672119140625e-06,0.0002589225769042969,0.0015995502471923828,0.0001,0.3324431255757809,0.7006242959499359,0.8544375190734863,5.4836273193359375e-06,2.7633557319641113,117.97628196614416,250.0,0.56,4.48,250.0,119.50434556832487,116.44821836396345,30.160273113621304,1179.7628196614417,1.0,65.03891629860352,330000
335000,12407,321.8956854215768,0.0004482269287109375,2.1457672119140625e-06,0.0002620220184326172,0.0023202896118164062,0.0001,0.32866406020522115,0.6974128783941269,0.8583750176429749,4.5299530029296875e-06,2.729062080383301,127.54644402223832,250.0,0.64,6.96,250.0,125.54229410179269,129.550593942684,27.350113529877603,1275.4644402223832,1.0,65.6422532960851,335000
340000,12592,307.8198933526144,0.0004055500030517578,2.1457672119140625e-06,0.000255584716796875,0.0023658275604248047,0.0001,0.33435997301340104,0.6957569153308868,0.8546875184774398,3.814697265625e-06,2.7917141914367676,144.07141051510635,250.0,0.84,6.56,250.0,138.23585678624738,149.9069642439653,22.926453523610476,1440.7141051510634,1.0,51.65426083758292,340000
345000,12777,309.54853323449754,0.00040984153747558594,2.1457672119140625e-06,0.0002570152282714844,0.0023746490478515625,0.0001,0.3256543423384428,0.6981490542888641,0.8605416841506958,4.0531158447265625e-06,2.7834653854370117,142.62741719990817,250.0,0.76,9.4,250.0,136.9638669805913,148.29096741922504,23.14227764177943,1426.2741719990815,1.0,58.76378654934671,345000
350000,12962,308.871146736152,0.0003376007080078125,2.1457672119140625e-06,0.0001728534698486328,0.002339601516723633,0.0001,0.3263442380130291,0.6975872441530228,0.8605625199079514,5.4836273193359375e-06,2.768139600753784,160.36259178002524,250.0,0.84,7.44,250.0,148.42139808123628,172.3037854788142,18.337846116665787,1603.6259178002524,1.0,53.00144019906552,350000
355000,13148,306.81867891433563,0.0004069805145263672,2.1457672119140625e-06,0.0002586841583251953,0.002377748489379883,0.0001,0.3231845308020711,0.6971419219970703,0.8594583526849747,3.814697265625e-06,2.777803659439087,154.6336327885269,250.0,0.84,7.2,250.0,142.84709220906745,166.4201733679864,19.75591503649204,1546.3363278852692,1.0,53.98711024737171,355000
360000,13333,306.62873927992064,0.0004062652587890625,2.1457672119140625e-06,0.00026035308837890625,0.002381563186645508,0.0001,0.3249112535342574,0.6957158720493317,0.8586875174045563,4.291534423828125e-06,2.780299663543701,142.6670515183323,250.0,0.8,6.88,250.0,133.0873507632528,152.2467522734118,22.307246831908948,1426.6705151833232,1.0,59.29388244762896,360000
365000,13518,305.6830478749207,0.0004146099090576172,2.1457672119140625e-06,0.00025916099548339844,0.002396821975708008,0.0001,0.32449921864271164,0.698239356637001,0.8600000196695328,4.291534423828125e-06,2.7954635620117188,139.5222458637377,250.0,0.76,6.32,250.0,132.99126617859042,146.05322554888505,23.662779923686017,1395.222458637377,1.0,60.47516620880487,365000
370000,13703,303.79449046260186,0.0004405975341796875,2.1457672119140625e-06,0.0002624988555908203,0.002391338348388672,0.0001,0.3227151682972908,0.6992467777729034,0.8626875194311142,4.0531158447265625e-06,2.7422401905059814,133.09778287258325,250.0,0.68,5.32,250.0,128.99797014006006,137.19759560510647,25.27010167035041,1330.9778287258325,1.0,63.352776497655945,370000
