time/step,time/epoch,time/steps_per_second,time/dataset,time/env_step,time/processor,time/train_step,lr/actor,train/cpl_loss,train/bc_loss,train/accuracy,time/validation,time/eval,eval/reward,eval/length,eval/success,eval/near_object,eval/grasp_success,eval/grasp_reward,eval/in_place_reward,eval/obj_to_target,eval/unscaled_reward,eval/discount,eval/reward_std,step
2500,62,21.00799197486757,7.939338684082031e-05,9.059906005859375e-06,0.0035533905029296875,0.04197239875793457,0.0001,0.0,0.6958908225297928,0.0,2.3126602172851562e-05,10.343133449554443,104.59473930147226,250.0,0.44,4.36,250.0,109.10000403768707,100.08947456525746,33.368841499403715,1045.9473930147228,1.0,60.121857195406236,2500
5000,125,20.91775175582173,0.13757991790771484,9.059906005859375e-06,0.0042760372161865234,0.04167890548706055,0.0001,0.0,0.6448995257019997,0.0,1.6927719116210938e-05,9.719786643981934,103.75602848365918,250.0,0.48,2.76,250.0,106.76250981651357,100.74954715080474,33.33232387013617,1037.5602848365916,1.0,63.566455610663915,5000
7500,187,20.977798445296692,8.416175842285156e-05,9.059906005859375e-06,0.003462076187133789,0.0419466495513916,0.0001,0.0,0.6221546915769577,0.0,1.5974044799804688e-05,9.569523096084595,89.74491632197082,250.0,0.36,2.6,250.0,94.38098242847218,85.10885021546945,36.07932143528692,897.4491632197081,1.0,58.620763059745386,7500
10000,250,20.88322385007175,0.14014363288879395,9.059906005859375e-06,0.0038390159606933594,0.041703224182128906,0.0001,0.0,0.6119633505940437,0.0,1.6927719116210938e-05,9.592117309570312,119.4667269277438,250.0,0.56,5.16,250.0,107.4693424340447,131.46411142144288,26.755827038835292,1194.6672692774378,1.0,74.58041090248129,10000
12500,312,20.98884776304774,0.0001239776611328125,9.059906005859375e-06,0.003330707550048828,0.04196524620056152,0.0001,0.0,0.6033206079006195,0.0,1.5020370483398438e-05,9.769323110580444,110.99899195673808,250.0,0.48,4.8,250.0,108.27943544171632,113.71854847175977,30.56114443841316,1109.9899195673804,1.0,68.46206068278285,12500
15000,375,20.90017037138107,0.14021849632263184,9.059906005859375e-06,0.0038237571716308594,0.041741132736206055,0.0001,0.0,0.5976685164570809,0.0,1.6450881958007812e-05,9.852066278457642,131.4234754503334,250.0,0.64,6.44,250.0,123.41292312338106,139.4340277772857,25.298671327045152,1314.2347545033338,1.0,68.55128577205993,15000
17500,437,20.98861249635866,0.00012183189392089844,9.059906005859375e-06,0.003612041473388672,0.04188227653503418,0.0001,0.0,0.5924310511946678,0.0,1.52587890625e-05,9.34666919708252,110.81764643308959,250.0,0.56,4.52,250.0,100.81167410868517,120.82361875749405,29.05121772358772,1108.176464330896,1.0,72.50060888160456,17500
20000,500,20.911016691634924,0.14072012901306152,9.059906005859375e-06,0.004420042037963867,0.041723012924194336,0.0001,0.0,0.5892298927307129,0.0,1.7642974853515625e-05,9.210312604904175,120.64177980405012,250.0,0.72,5.52,250.0,110.60070022008806,130.68285938801216,26.723692400865627,1206.4177980405009,1.0,65.84498805790682,20000
22500,562,20.96248852144542,7.724761962890625e-05,9.059906005859375e-06,0.003124237060546875,0.041983842849731445,0.0001,0.0,0.5847792401909828,0.0,1.33514404296875e-05,9.610812664031982,118.00752491129562,250.0,0.6,5.4,250.0,105.62939022481733,130.38565959777384,27.081938059462587,1180.075249112956,1.0,66.5844829401248,22500
25000,625,20.892693954977265,0.16276884078979492,9.059906005859375e-06,0.004765748977661133,0.041605234146118164,0.0001,0.0,0.5828404534459114,0.0,1.8358230590820312e-05,9.844565629959106,121.83031274840945,250.0,0.6,5.24,250.0,113.22156049508045,130.4390650017384,26.87840875468481,1218.3031274840944,1.0,73.08986582841798,25000
