time/step,time/epoch,time/steps_per_second,time/dataset,time/env_step,time/processor,time/train_step,lr/actor,train/cpl_loss,train/bc_loss,train/accuracy,time/validation,time/eval,eval/reward,eval/length,eval/success,eval/near_object,eval/grasp_success,eval/grasp_reward,eval/in_place_reward,eval/obj_to_target,eval/unscaled_reward,eval/discount,eval/reward_std,step
0,0,4091.053979661308,0.0027518272399902344,2.384185791015625e-06,0.00046563148498535156,0.11897015571594238,0.0001,0.0,1.6554841995239258,0.0,1.0013580322265625e-05,2.70810604095459,29.830942810716564,250.0,0.0,0.0,250.0,25.935172913550918,33.72671270788223,47.2790176033205,298.3094281071657,1.0,18.81404193609138,0
5000,185,384.21311821400934,0.0006275177001953125,2.384185791015625e-06,0.00034427642822265625,0.0020427703857421875,0.0001,0.0,0.6618308007717133,0.0,7.3909759521484375e-06,2.8972980976104736,126.56282354343817,250.0,0.64,6.2,250.0,124.26151531743268,128.8641317694437,27.385496450463897,1265.6282354343818,1.0,61.265512042383506,5000
10000,370,364.75526382660547,0.0006196498870849609,2.384185791015625e-06,0.0003440380096435547,0.0020415782928466797,0.0001,0.0,0.6104637858867645,0.0,4.76837158203125e-06,3.1526691913604736,128.36001887839896,250.0,0.6,6.76,250.0,122.81966203226467,133.90037572453323,26.448177890282253,1283.6001887839893,1.0,70.97023339071272,10000
15000,555,359.0984183691641,0.0006458759307861328,2.384185791015625e-06,0.0003364086151123047,0.0020134449005126953,0.0001,0.0,0.5919927287101746,0.0,5.4836273193359375e-06,3.1594574451446533,101.81958111598925,250.0,0.48,3.16,250.0,103.72643172297313,99.91273050900546,32.97435123881057,1018.1958111598929,1.0,58.97379461775669,15000
20000,740,346.5161295119632,0.0006613731384277344,2.384185791015625e-06,0.0004076957702636719,0.002007007598876953,0.0001,0.0,0.5847926769852638,0.0,6.198883056640625e-06,3.3964245319366455,106.49911632532135,250.0,0.4,3.4,250.0,110.20572917001392,102.79250348062877,32.98113158055252,1064.9911632532132,1.0,68.02140031555551,20000
25000,925,341.41174022875373,0.0006854534149169922,2.384185791015625e-06,0.00033783912658691406,0.0020797252655029297,0.0001,0.0,0.579746486902237,0.0,7.152557373046875e-06,3.3888437747955322,121.91640349968358,250.0,0.52,5.56,250.0,123.63932904419569,120.19347795517147,28.901738726494806,1219.1640349968359,1.0,66.64293145389264,25000
30000,1111,360.20560976569095,0.00047969818115234375,2.384185791015625e-06,0.0003266334533691406,0.0017168521881103516,0.0001,0.0,0.5748906797170639,0.0,7.3909759521484375e-06,3.396794557571411,120.93077673253042,250.0,0.56,4.36,250.0,115.53100877400757,126.33054469105323,27.907206642494234,1209.307767325304,1.0,68.81818982800209,30000
35000,1296,356.5565694569291,0.0004589557647705078,2.384185791015625e-06,0.0002677440643310547,0.0016336441040039062,0.0001,0.0,0.5727836220264435,0.0,8.106231689453125e-06,3.399778366088867,147.21565719941876,250.0,0.76,8.0,250.0,133.23304941422626,161.19826498461123,20.799031219208658,1472.1565719941875,1.0,66.91981648179906,35000
40000,1481,359.189875724515,0.0007410049438476562,2.384185791015625e-06,0.0003457069396972656,0.0020966529846191406,0.0001,0.0,0.5721038661003113,0.0,5.7220458984375e-06,3.3781325817108154,94.73706033253535,250.0,0.4,4.36,250.0,97.93744128207392,91.5366793829967,35.286083146947924,947.3706033253532,1.0,63.72641578357898,40000
45000,1666,390.4823065870168,0.0004000663757324219,2.384185791015625e-06,0.0002570152282714844,0.001695394515991211,0.0001,0.0,0.5693685703277588,0.0,3.5762786865234375e-06,3.126871109008789,135.05496637072937,250.0,0.64,8.32,250.0,130.82977113114777,139.280161610311,25.392077111472663,1350.5496637072936,1.0,65.77320772528606,45000
50000,1851,351.1996189835677,0.0006175041198730469,2.384185791015625e-06,0.0003333091735839844,0.0019724369049072266,0.0001,0.0,0.5689151756763459,0.0,5.245208740234375e-06,3.3171136379241943,137.87192230257483,250.0,0.68,8.24,250.0,127.47110023257292,148.27274437257674,23.580405819749608,1378.7192230257483,1.0,63.94626926000194,50000
55000,2037,370.0329935405074,0.0005745887756347656,2.384185791015625e-06,0.00026416778564453125,0.0014765262603759766,0.0001,0.0,0.5669974617362022,0.0,4.291534423828125e-06,3.345806121826172,94.96887395825063,250.0,0.4,5.28,250.0,93.56622157510905,96.3715263413922,34.20229605698464,949.6887395825063,1.0,69.21228604337145,55000
60000,2222,360.0401251688263,0.0006170272827148438,2.384185791015625e-06,0.0003294944763183594,0.002019643783569336,0.0001,0.0,0.5646830520629883,0.0,4.0531158447265625e-06,3.3208799362182617,135.18177612172832,250.0,0.64,5.44,250.0,127.77750113004173,142.58605111341495,24.701122851101683,1351.8177612172835,1.0,70.43358108122888,60000
65000,2407,342.4171527293502,0.0006787776947021484,2.384185791015625e-06,0.000339508056640625,0.002009868621826172,0.0001,0.0,0.5659245254993439,0.0,5.245208740234375e-06,3.0869357585906982,141.0004989865215,250.0,0.64,6.92,250.0,136.74936735857054,145.25163061447248,24.19006716918333,1410.004989865215,1.0,63.39704153935037,65000
70000,2592,373.18381912520096,0.0006330013275146484,2.384185791015625e-06,0.0003364086151123047,0.00196075439453125,0.0001,0.0,0.5655462310314179,0.0,3.5762786865234375e-06,3.2196130752563477,121.29661572590808,250.0,0.64,3.24,250.0,113.01739149098628,129.5758399608299,26.70390127312654,1212.9661572590808,1.0,63.27328156016913,70000
75000,2777,352.59289148929014,0.0006165504455566406,2.384185791015625e-06,0.0003387928009033203,0.0019702911376953125,0.0001,0.0,0.5648916471004486,0.0,5.4836273193359375e-06,3.123196840286255,134.963293818337,250.0,0.64,4.36,250.0,129.74040983780407,140.18617779886995,25.148988531383633,1349.6329381833702,1.0,63.10437578887753,75000
80000,2962,374.678299373241,0.000316619873046875,2.384185791015625e-06,0.00016832351684570312,0.0018954277038574219,0.0001,0.0,0.5635919478535653,0.0,4.76837158203125e-06,3.071237325668335,124.19328664764669,250.0,0.56,4.68,250.0,124.75015135442929,123.63642194086407,28.599173704142657,1241.9328664764669,1.0,64.57575333444504,80000
85000,3148,375.54832886838676,0.00047397613525390625,2.384185791015625e-06,0.0002675056457519531,0.0016019344329833984,0.0001,0.0,0.5655377513766289,0.0,4.291534423828125e-06,3.292412281036377,126.42565022407695,250.0,0.6,6.2,250.0,118.98911279882903,133.86218764932488,26.673376167728897,1264.2565022407694,1.0,73.4983004647068,85000
90000,3333,458.28869876858863,0.0006170272827148438,2.384185791015625e-06,0.0003304481506347656,0.0019600391387939453,0.0001,0.0,0.5651688806414604,0.0,4.291534423828125e-06,2.9817776679992676,123.74822846672409,250.0,0.64,6.44,250.0,114.52035758434693,132.97609934910125,26.310407646954964,1237.4822846672405,1.0,65.91873089061401,90000
95000,3518,368.2564522739461,0.0004074573516845703,2.384185791015625e-06,0.0002574920654296875,0.0016469955444335938,0.0001,0.0,0.5640423064231872,0.0,4.0531158447265625e-06,3.182347059249878,144.59060437599348,250.0,0.8,5.52,250.0,127.74953995659493,161.43166879539203,20.208897675442973,1445.9060437599348,1.0,62.730765214114456,95000
100000,3703,340.58038681735997,0.0006434917449951172,2.384185791015625e-06,0.0005352497100830078,0.002364635467529297,0.0001,0.0,0.5633799804449081,0.0,3.814697265625e-06,3.4375948905944824,99.26893027870078,250.0,0.44,4.2,250.0,93.80740540670597,104.73045515069562,32.43224395548259,992.689302787008,1.0,71.41032539749692,100000
