time/step,time/epoch,time/steps_per_second,time/dataset,time/env_step,time/processor,time/train_step,lr/actor,train/cpl_loss,train/bc_loss,train/accuracy,time/validation,time/eval,eval/reward,eval/length,eval/success,eval/near_object,eval/grasp_success,eval/grasp_reward,eval/in_place_reward,eval/obj_to_target,eval/unscaled_reward,eval/discount,eval/reward_std,step
62500,1562,20.793090951717847,0.0001678466796875,1.1682510375976562e-05,0.0032062530517578125,0.04276919364929199,0.0001,0.3491126090735197,0.6643730686903,0.8467777779102326,1.4781951904296875e-05,10.348110914230347,170.6560632597735,250.0,0.96,9.56,250.0,158.58974174695436,182.72238477259268,16.37859301995089,1706.5606325977353,1.0,38.15364650212438,62500
65000,1625,20.867369913393755,0.07782149314880371,1.1682510375976562e-05,0.003902912139892578,0.04176807403564453,0.0001,0.3494345000088215,0.6646275137066842,0.8482271826267243,1.4543533325195312e-05,10.198920488357544,157.28284391789109,250.0,0.84,6.96,250.0,146.39550966480968,168.17017817097255,19.241096880405976,1572.828439178911,1.0,49.571760295865694,65000
67500,1687,20.608548032159465,0.0002923011779785156,1.1682510375976562e-05,0.005203723907470703,0.04640364646911621,0.0001,0.34691498608887195,0.6664550725221634,0.8492748019695282,3.218650817871094e-05,10.18965458869934,164.072151607395,250.0,0.92,9.36,250.0,152.88424368182277,175.26005953296715,17.77820854033924,1640.7215160739497,1.0,42.50690954510463,67500
70000,1750,20.895668514336275,0.07641410827636719,1.1682510375976562e-05,0.0038890838623046875,0.04437255859375,0.0001,0.3458158548176289,0.6661617968082428,0.8495912687778473,1.6689300537109375e-05,10.275081634521484,142.60060938276297,250.0,0.76,6.8,250.0,131.69990967072033,153.50130909480558,22.067747286977223,1426.00609382763,1.0,59.62213101308234,70000
72500,1812,20.953959952940636,8.630752563476562e-05,1.1682510375976562e-05,0.003528594970703125,0.0419769287109375,0.0001,0.3475833790302277,0.6669153057336807,0.8506150795221329,1.5735626220703125e-05,9.928103685379028,148.16825796983824,250.0,0.84,7.16,250.0,137.8380457428472,158.49847019682932,21.30025702432108,1481.6825796983828,1.0,54.758046689985086,72500
75000,1875,20.927907705295702,0.08494353294372559,1.1682510375976562e-05,0.004453420639038086,0.04681062698364258,0.0001,0.3389588922858238,0.6641477056145668,0.854790672659874,2.1696090698242188e-05,10.271218299865723,133.52032236568286,250.0,0.72,5.4,250.0,123.34959494200568,143.69104978936,24.034717409208625,1335.2032236568284,1.0,64.29787117467386,75000
77500,1937,21.0262724133644,9.393692016601562e-05,1.1682510375976562e-05,0.003534078598022461,0.04279160499572754,0.0001,0.3398445199429989,0.6638300391435623,0.8545912690162659,1.5497207641601562e-05,10.809984683990479,169.3627831965724,250.0,0.92,7.76,250.0,154.17248556870857,184.55308082443614,16.055191336432003,1693.627831965724,1.0,44.07141886293259,77500
80000,2000,21.09730678445642,0.07494235038757324,1.1682510375976562e-05,0.003917694091796875,0.042035579681396484,0.0001,0.343062258169055,0.6642324240207672,0.8531577384471893,1.5020370483398438e-05,10.50195050239563,156.99279370141423,250.0,0.88,7.76,250.0,141.0731577460416,172.9124296567868,18.34696873780186,1569.927937014142,1.0,54.27997114206097,80000
82500,2062,21.072771929661673,8.940696716308594e-05,1.1682510375976562e-05,0.0031936168670654297,0.04199624061584473,0.0001,0.33992569053173066,0.6611750138401985,0.8537142876386642,1.3113021850585938e-05,10.244874238967896,135.88211690366356,250.0,0.84,8.6,250.0,126.97760129243423,144.78663251489286,23.627738298394203,1358.8211690366352,1.0,54.24507729494911,82500
85000,2125,21.095017616382467,0.08478569984436035,1.1682510375976562e-05,0.004537105560302734,0.04215359687805176,0.0001,0.33775902932882307,0.6618584067225456,0.8554285694360733,1.430511474609375e-05,10.239522218704224,119.15630755817647,250.0,0.72,5.12,250.0,108.78136965759359,129.53124545875937,26.759449296269832,1191.563075581765,1.0,64.46115090253306,85000
